"bg_prop_A" "bg_prop_B" "E_radius_x" "E_radius_y" "E_radius_z" "N_width" "cluster_prop_A" "ring_width_factor" "cluster_x_coord" "variable_parameter"
"1" 0 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"2" 0.0801381007768214 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"3" 0.0445672143017873 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"4" 0.0748947102343664 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"5" 0.0123851005220786 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"6" 0.0173180166399106 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"7" 0.0530197479063645 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"8" 0.0802281355252489 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"9" 0.0143351356731728 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"10" 0.0949169515399262 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"11" 0.0693064437946305 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"12" 0.0493679417064413 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"13" 0.0609024732140824 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"14" 0.0285980359883979 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"15" 0.0387068647891283 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"16" 0.063551516388543 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"17" 0.0607850113650784 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"18" 0.0453228310449049 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"19" 0.0378053957596421 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"20" 0.0501989766722545 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"21" 0.0862168523715809 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"22" 0.0647597605129704 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"23" 0.0616271787555888 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"24" 0.0643663956783712 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"25" 0.0908836287213489 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"26" 0.0859732233919203 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"27" 0.0269464450655505 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"28" 0.0362294472521171 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"29" 0.0702641912503168 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"30" 0.0962331494316459 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"31" 0.0856560272863135 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"32" 0.0702026003040373 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"33" 0.0607129094656557 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"34" 0.00111586838029325 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"35" 0.0305412509245798 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"36" 0.0918344923760742 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"37" 0.0727299962658435 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"38" 0.00104041749145836 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"39" 0.019528775010258 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"40" 0.0870899368310347 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"41" 0.0966894080396742 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"42" 0.0522871354361996 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"43" 0.00681949960999191 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"44" 0.0155650178203359 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"45" 0.0962704190984368 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"46" 0.0832714037038386 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"47" 0.0117377930087969 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"48" 0.0598843732150272 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"49" 0.055232827574946 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"50" 0.0704708392033353 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"51" 0.00738692404702306 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"52" 0.0321019030874595 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"53" 0.0134861631784588 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"54" 0.089043691358529 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"55" 0.0362606124021113 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"56" 0.0514289214042947 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"57" 0.00592273990623653 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"58" 0.00871720395516604 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"59" 0.0255459104897454 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"60" 0.0043886088533327 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"61" 0.0805965206352994 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"62" 0.00926558810751885 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"63" 0.0627814134815708 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"64" 0.0233366314321756 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"65" 0.00672068758867681 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"66" 0.094987734570168 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"67" 0.0516770633868873 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"68" 0.0992839882615954 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"69" 0.0730136095546186 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"70" 0.0547238542465493 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"71" 0.0208603947190568 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"72" 0.0511641397606581 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"73" 0.0745815343223512 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"74" 0.018161073490046 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"75" 0.0834903089562431 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"76" 0.0267059200210497 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"77" 0.0929924329277128 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"78" 0.0805332830175757 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"79" 0.0861468939343467 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"80" 0.0179231467423961 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"81" 0.0258454286726192 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"82" 0.0882406961172819 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"83" 0.04270109096542 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"84" 0.0183007517363876 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"85" 0.0396960231941193 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"86" 0.028544657304883 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"87" 0.00155088151805103 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"88" 0.0615633947541937 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"89" 0.0857510794885457 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"90" 0.0421730513684452 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"91" 0.0697954017668962 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"92" 0.0045057560550049 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"93" 0.00193695786874741 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"94" 0.051116356998682 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"95" 0.00968441236764193 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"96" 0.0358514492632821 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"97" 0.0326169673120603 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"98" 0.00987738934345543 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"99" 0.0279887444572523 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"100" 0.0877749179489911 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"101" 0.00365959778428078 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"102" 0.0827466613380238 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"103" 0.0275398806203157 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"104" 0.0244482889538631 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"105" 0.0520523683866486 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"106" 0.00241437437944114 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"107" 0.0641031998209655 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"108" 0.00800650427117944 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"109" 0.00634369070176035 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"110" 0.0946170043665916 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"111" 0.0875638293335214 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"112" 0.0429179656784981 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"113" 0.0753460308304057 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"114" 0.0512378349434584 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"115" 0.0488452771445736 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"116" 0.0798185621388257 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"117" 0.0472277777036652 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"118" 0.0504110662033781 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"119" 0.00229673632420599 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"120" 0.0392127441940829 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"121" 0.00473970409948379 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"122" 0.0713355680927634 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"123" 0.0454075838904828 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"124" 0.0733036944875494 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"125" 0.0146131989778951 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
"126" 0.0459583000279963 0 75 100 125 30 0.7 0.15 150 "bg_prop_A"
