"bg_prop_A" "bg_prop_B" "E_radius_x" "E_radius_y" "E_radius_z" "N_width" "cluster_prop_A" "ring_width_factor" "cluster_x_coord"
"1" 0.064 0 99.8058314318769 80.678801855538 120.924782915972 25.936220176518 0.81820848826319 0.102829923829995 142.204961669631
"2" 0 0.009 83.1356510519981 102.175168949179 119.423572998494 26.0088253510185 0.635921303555369 0.110974559886381 150.231820833869
"3" 0.087 0.085 105.003656295594 102.330114587676 120.394456724171 26.7450118740089 0.778274481371045 0.131245603063144 150.361306930427
"4" 0 0.08 112.328652944416 98.2630166690797 97.0795287867077 27.5587261002511 0.70801305109635 0.104342805617489 164.369396073744
"5" 0.029 0.02 118.472171423491 89.8109421366826 109.55789249856 27.5706079090014 0.760235473327339 0.102045095455833 172.357476421166
"6" 0.074 0 77.2326438571326 122.663637704682 109.72413001582 29.0403399756178 0.605887229181826 0.130110097234137 133.004693547264
"7" 0 0.011 83.9456029236317 92.5944851478562 97.6061904453672 32.2823918936774 0.683044463675469 0.133764006197453 165.951770415995
"8" 0 0.099 82.8255411353894 113.706846628338 122.139511629939 26.5365746431053 0.898540591262281 0.168677235697396 136.849477374926
"9" 0.058 0.032 115.910121519119 96.8177502043545 79.4736846699379 28.4500500420108 0.682780122291297 0.140698535973206 170.126369898207
"10" 0 0 118.411556421779 108.096762257628 112.507839559112 25.039244859945 0.899321722332388 0.198166021169163 169.845230178908
"11" 0 0.066 81.6232883720659 105.369878292549 99.9680269742385 28.7049429537728 0.765118317212909 0.152930237376131 170.622812898364
"12" 0.039 0 114.387449121568 98.4901131945662 123.875768925063 31.361974705942 0.639600316714495 0.114016164490022 173.285872593988
"13" 0 0 112.263727292884 123.483969666995 101.085945707746 26.1984529532492 0.716077965591103 0.199192930059508 160.842354770284
"14" 0.043 0.081 81.0997459222563 94.4542685057968 114.324560284149 27.9051515460014 0.858698760159314 0.169846056215465 158.005788840819
"15" 0.043 0.038 82.0094082737342 105.450660584029 112.588369764853 31.1076356912963 0.652711775619537 0.112079007853754 165.463292389177
"16" 0.093 0.062 86.5477952756919 123.227441718336 118.109327100683 32.0136083592661 0.584079287014902 0.136860766354948 171.65244736243
"17" 0 0.061 93.0344654247165 102.961618627887 108.352158183698 28.4448340162635 0.732421912811697 0.158465850306675 160.280807421077
"18" 0.057 0.064 93.0629577953368 102.754411578644 102.515267161652 31.866614301689 0.661068753991276 0.123988916212693 133.449526643381
"19" 0.09 0 116.982488369104 112.788743292913 93.7507033115253 30.425839482341 0.809964183252305 0.162723203701898 149.700964649674
"20" 0 0.05 111.063982802443 92.3379522399046 84.1628243448213 28.3230314333923 0.525237237010151 0.119528782041743 158.08747317642
"21" 0 0 110.573925031349 89.0547640272416 76.1393384309486 32.1961401728913 0.557310366816819 0.148469357425347 150.557349890005
"22" 0.061 0.021 89.25515266601 106.373151740991 115.302512072958 29.8734512692317 0.801681585330516 0.13407483426854 140.665545640513
"23" 0.083 0.029 79.5165802235715 112.566588516347 78.9988077711314 28.1210220837966 0.892746835108846 0.156265571084805 163.974309491459
"24" 0 0.082 94.2970420233905 124.118717887904 89.1526933177374 31.2574112135917 0.660427688062191 0.18024109271355 135.403451230377
"25" 0.091 0.005 105.175550747663 123.372101027053 102.799011638854 31.5410608658567 0.755261931661516 0.146228968608193 130.876036640257
"26" 0.084 0 93.4328456176445 111.822912259959 80.7172044878826 29.2286132276058 0.884068615268916 0.182879859488457 168.964897003025
"27" 0.002 0.007 83.932130667381 87.2571878717281 79.8495927709155 34.6595125063322 0.699681769963354 0.142962797335349 158.614315115847
"28" 0 0.094 94.0073899109848 103.045946115162 121.099394373596 26.7573161283508 0.870925824157894 0.126876208814792 163.446363422554
"29" 0 0 98.6698593595065 107.218207360711 104.170201881789 28.0629791598767 0.804323693551123 0.117790989368223 134.266476728953
"30" 0 0.074 123.125226190314 109.912051178981 92.0274630072527 30.5775203579105 0.871424928214401 0.174256211449392 151.049423718359
"31" 0 0.056 115.782065677922 88.7415190925822 114.828130730893 28.1953438045457 0.869625577609986 0.128146278997883 164.386370696593
"32" 0 0 104.069522977807 110.8787119505 113.154171034694 28.303597420454 0.862625838629901 0.164426320441999 159.404623450246
"33" 0.09 0.095 84.5627133385278 116.886209324002 97.9288875241764 25.0522115570493 0.745779134053737 0.122214470431209 150.26793780271
"34" 0 0 86.9462073897012 111.862522119191 81.4420980750583 30.3344118362293 0.696994249615818 0.188749078591354 143.056818877812
"35" 0 0 119.710748654325 112.805620254949 119.694776914548 33.187290946953 0.737996463477611 0.169217088888399 169.150142709259
"36" 0 0 101.877521595452 116.835531953257 96.0228233132511 25.8808990335092 0.893930144794285 0.162738796789199 136.73611638369
"37" 0.052 0.085 114.166535995901 82.9298961558379 124.834351381287 29.4069948606193 0.795319442171603 0.142757804691792 155.861791747157
"38" 0 0 101.034855388571 76.7961861914955 101.182430691551 30.8751020766795 0.895273045636714 0.136558472714387 149.520586652216
